"User ID";"Datetime";"Loyality_Points";"Session"
659;"26-10-2022 12:00";820.8;"S2"
765;"26-10-2022 12:00";4974.397;"S2"
716;"26-10-2022 12:00";89.34;"S2"
605;"26-10-2022 12:00";731.749;"S2"
270;"26-10-2022 12:01";827.208;"S2"
753;"26-10-2022 12:01";551.0;"S2"
722;"26-10-2022 12:01";1835.014;"S2"
31;"26-10-2022 12:01";1137.707;"S2"
16;"26-10-2022 12:01";6112.56;"S2"
137;"26-10-2022 12:01";2874.197;"S2"
324;"26-10-2022 12:01";157.399;"S2"
300;"26-10-2022 12:02";698.998;"S2"
992;"26-10-2022 12:02";11627.777;"S2"
992;"26-10-2022 12:02";11627.777;"S2"
779;"26-10-2022 12:02";1884.593;"S2"
939;"26-10-2022 12:02";331.017;"S2"
452;"26-10-2022 12:02";701.228;"S2"
39;"26-10-2022 12:03";2954.636;"S2"
878;"26-10-2022 12:03";877.514;"S2"
889;"26-10-2022 12:03";641.512;"S2"
181;"26-10-2022 12:03";2702.21;"S2"
836;"26-10-2022 12:03";4010.984;"S2"
968;"26-10-2022 12:03";183.409;"S2"
452;"26-10-2022 12:03";701.228;"S2"
141;"26-10-2022 12:04";3466.92;"S2"
487;"26-10-2022 12:04";1703.407;"S2"
602;"26-10-2022 12:04";3708.971;"S2"
999;"26-10-2022 12:04";124.803;"S2"
990;"26-10-2022 12:04";902.8;"S2"
748;"26-10-2022 12:04";1588.21;"S2"
602;"26-10-2022 12:05";3708.971;"S2"
458;"26-10-2022 12:05";1048.069;"S2"
451;"26-10-2022 12:05";253.804;"S2"
754;"26-10-2022 12:05";4005.697;"S2"
36;"26-10-2022 12:05";171.6;"S2"
206;"26-10-2022 12:05";676.011;"S2"
146;"26-10-2022 12:05";4491.319;"S2"
52;"26-10-2022 12:05";1015.021;"S2"
571;"26-10-2022 12:05";532.325;"S2"
338;"26-10-2022 12:05";852.445;"S2"
705;"26-10-2022 12:05";352.005;"S2"
27;"26-10-2022 12:06";2611.727;"S2"
668;"26-10-2022 12:06";1965.791;"S2"
458;"26-10-2022 12:06";1048.069;"S2"
182;"26-10-2022 12:06";8840.907;"S2"
272;"26-10-2022 12:06";1512.602;"S2"
377;"26-10-2022 12:06";2189.881;"S2"
856;"26-10-2022 12:06";6224.519;"S2"
922;"26-10-2022 12:06";4332.588;"S2"
765;"26-10-2022 12:06";4974.397;"S2"
990;"26-10-2022 12:06";902.8;"S2"
338;"26-10-2022 12:06";852.445;"S2"
296;"26-10-2022 12:07";2363.873;"S2"
828;"26-10-2022 12:07";2332.299;"S2"
247;"26-10-2022 12:07";2328.42;"S2"
602;"26-10-2022 12:07";3708.971;"S2"
377;"26-10-2022 12:07";2189.881;"S2"
377;"26-10-2022 12:07";2189.881;"S2"
289;"26-10-2022 12:07";3633.476;"S2"
141;"26-10-2022 12:07";3466.92;"S2"
671;"26-10-2022 12:08";130.6;"S2"
765;"26-10-2022 12:08";4974.397;"S2"
587;"26-10-2022 12:08";13638.881;"S2"
699;"26-10-2022 12:08";1656.567;"S2"
206;"26-10-2022 12:08";676.011;"S2"
367;"26-10-2022 12:08";269.834;"S2"
765;"26-10-2022 12:08";4974.397;"S2"
206;"26-10-2022 12:09";676.011;"S2"
992;"26-10-2022 12:09";11627.777;"S2"
442;"26-10-2022 12:09";860.54;"S2"
765;"26-10-2022 12:09";4974.397;"S2"
458;"26-10-2022 12:10";1048.069;"S2"
424;"26-10-2022 12:10";1306.377;"S2"
77;"26-10-2022 12:10";881.815;"S2"
194;"26-10-2022 12:10";1403.609;"S2"
856;"26-10-2022 12:10";6224.519;"S2"
582;"26-10-2022 12:10";764.0;"S2"
296;"26-10-2022 12:10";2363.873;"S2"
171;"26-10-2022 12:10";307.006;"S2"
666;"26-10-2022 12:11";401.698;"S2"
27;"26-10-2022 12:11";2611.727;"S2"
653;"26-10-2022 12:11";3474.236;"S2"
887;"26-10-2022 12:11";988.4;"S2"
305;"26-10-2022 12:11";974.667;"S2"
377;"26-10-2022 12:11";2189.881;"S2"
828;"26-10-2022 12:11";2332.299;"S2"
922;"26-10-2022 12:11";4332.588;"S2"
357;"26-10-2022 12:11";1527.399;"S2"
424;"26-10-2022 12:11";1306.377;"S2"
911;"26-10-2022 12:11";2580.489;"S2"
663;"26-10-2022 12:12";6981.217;"S2"
139;"26-10-2022 12:12";760.438;"S2"
407;"26-10-2022 12:12";4192.015;"S2"
342;"26-10-2022 12:12";1663.514;"S2"
738;"26-10-2022 12:12";881.0;"S2"
920;"26-10-2022 12:12";12535.789;"S2"
765;"26-10-2022 12:12";4974.397;"S2"
605;"26-10-2022 12:12";731.749;"S2"
505;"26-10-2022 12:13";4427.273;"S2"
602;"26-10-2022 12:13";3708.971;"S2"
765;"26-10-2022 12:13";4974.397;"S2"
758;"26-10-2022 12:13";330.62;"S2"
240;"26-10-2022 12:13";3341.72;"S2"
798;"26-10-2022 12:13";2219.045;"S2"
16;"26-10-2022 12:13";6112.56;"S2"
828;"26-10-2022 12:13";2332.299;"S2"
765;"26-10-2022 12:13";4974.397;"S2"
39;"26-10-2022 12:13";2954.636;"S2"
137;"26-10-2022 12:13";2874.197;"S2"
206;"26-10-2022 12:13";676.011;"S2"
152;"26-10-2022 12:13";190.6;"S2"
305;"26-10-2022 12:13";974.667;"S2"
464;"26-10-2022 12:13";5540.867;"S2"
85;"26-10-2022 12:13";2737.831;"S2"
194;"26-10-2022 12:14";1403.609;"S2"
738;"26-10-2022 12:14";881.0;"S2"
987;"26-10-2022 12:14";1811.457;"S2"
